id,lead_id,kind,created_on
1,1,call,2026-06-03
2,1,call,2026-06-10
3,1,email,2026-06-11
4,2,email,2026-06-05
5,2,meeting,2026-06-20
6,2,email,2026-07-14
7,3,meeting,2026-06-09
8,3,email,2026-06-12
9,4,call,2026-05-21
10,4,meeting,2026-06-05
11,4,email,2026-07-01
12,5,call,2026-06-16
13,5,email,2026-06-30
14,5,call,2026-08-20
15,6,email,2026-06-18
16,7,call,2026-05-12
17,7,email,2026-06-20
18,8,meeting,2026-06-30
19,8,call,2026-07-21
20,9,call,2026-06-26
21,9,email,2026-07-10
22,10,email,2026-07-01
23,11,meeting,2026-05-28
24,11,email,2026-06-15
25,12,meeting,2026-07-03
26,12,meeting,2026-08-11
27,13,email,2026-07-06
28,14,call,2026-07-09
29,14,call,2026-07-30
30,15,meeting,2026-06-02
31,15,email,2026-07-18
32,16,call,2026-07-10
33,16,email,2026-07-30
34,17,call,2026-06-12
35,18,email,2026-07-14
36,19,meeting,2026-07-16
37,19,email,2026-08-01
38,21,call,2026-07-20
39,21,email,2026-08-02
40,22,call,2026-06-20
41,23,call,2026-07-23
42,24,call,2026-06-08
43,26,meeting,2026-08-05
44,26,call,2026-08-19
45,27,meeting,2026-06-26
46,28,call,2026-08-04
47,28,call,2026-08-25
48,29,email,2026-07-05
49,30,email,2026-08-10
50,2,won,2026-09-22
51,1,won,2026-09-22
